fid,city,year_built,units
57517,Boston,1890,2
57518,Boston,2002,11
57519,Boston,1905,1
57520,Boston,1950,1
57521,Boston,1884,1
57522,Boston,1930,1
57523,Boston,1905,1
57524,Boston,1900,1
57525,Boston,1905,1
57526,Boston,1920,1
57528,Boston,1899,1
57529,Boston,1900,2
57530,Boston,1900,2
57531,Boston,1900,5
57532,Boston,1974,1
57533,Boston,1925,2
57534,Boston,1905,3
57535,Boston,1905,3
57537,Boston,1960,1
57538,Boston,1950,1
57539,Boston,2005,2
57540,Boston,1955,1
57543,Boston,1910,2
57544,Boston,1920,2
57545,Boston,1905,3
57546,Boston,1905,2
57548,Boston,1913,1
57549,Boston,1915,1
57550,Boston,1910,2
57551,Boston,1930,1
57554,Boston,1935,2
57555,Boston,1926,2
57556,Boston,1899,1
57557,Boston,1905,3
57558,Boston,1900,2
57559,Boston,1935,32
57560,Boston,1905,5
57561,Boston,1910,4
57562,Boston,1905,2
57563,Boston,1900,1
57564,Boston,1910,2
57566,Boston,1890,3
57567,Boston,1872,2
57570,Boston,1929,2
57571,Boston,1928,2
57572,Boston,1920,4
57574,Boston,1928,1
57575,Boston,1920,2
57576,Boston,1960,2
57577,Boston,1950,1
57578,Boston,1920,1
57582,Boston,1890,2
57583,Boston,1880,2
57584,Boston,1910,2
57585,Boston,1915,1
57586,Boston,1920,2
57587,Boston,1905,3
57588,Boston,1910,3
57589,Boston,1900,3
57591,Boston,1920,3
57593,Boston,1900,3
57594,Boston,1920,7
57596,Boston,1920,1
57597,Boston,1910,1
57598,Boston,1925,1
57599,Boston,1960,1
57600,Boston,1960,1
57601,Boston,1915,2
57603,Boston,1935,2
57604,Boston,1890,3
57605,Boston,1910,1
57606,Boston,1920,3
57607,Boston,1900,1
57608,Boston,2007,3
57609,Boston,1920,1
57610,Boston,1950,2
57611,Boston,1945,1
57613,Boston,1915,3
57614,Boston,2018,2
57615,Boston,1900,1
57616,Boston,1900,1
57617,Boston,1900,3
57618,Boston,1905,3
57619,Boston,1925,1
57620,Boston,1964,1
57621,Boston,1935,1
57622,Boston,1950,1
57623,Boston,1905,3
57624,Boston,1900,1
57625,Boston,1899,1
57626,Boston,1920,1
57627,Boston,1905,3
57628,Boston,1950,1
57629,Boston,2021,1
57630,Boston,1950,1
57631,Boston,2012,3
57632,Boston,1890,3
57633,Boston,1955,1
57634,Boston,1950,1
57635,Boston,1945,1
57636,Boston,1955,1
57637,Boston,1920,1
57638,Boston,1890,2
57639,Boston,1930,2
57640,Boston,1920,3
57641,Boston,1920,2
57642,Boston,1890,1
57643,Boston,1890,1
57644,Boston,1900,1
57645,Boston,1955,1
57646,Boston,1920,1
57647,Boston,1950,1
57648,Boston,1949,1
57649,Boston,1899,1
57651,Boston,1899,16
57652,Boston,1920,2
57653,Boston,1970,1
57654,Boston,1895,2
57656,Boston,1950,1
57657,Boston,1950,1
57658,Boston,1920,20
57659,Boston,1915,1
57660,Boston,1885,1
57661,Boston,1925,1
57662,Boston,1890,3
57663,Boston,1905,3
57664,Boston,1920,2
57665,Boston,1900,2
57667,Boston,1960,1
57668,Boston,1920,1
57669,Boston,1945,1
57670,Boston,1945,1
57671,Boston,1920,9
57672,Boston,1900,1
57673,Boston,1925,1
57674,Boston,1910,3
57675,Boston,1912,1
57676,Boston,1925,2
57677,Boston,1955,1
57678,Boston,2016,9
57679,Boston,1910,5
57680,Boston,2000,1
57682,Boston,1900,2
57683,Boston,1935,1
57684,Boston,1940,1
57685,Boston,1905,3
57687,Boston,1910,2
57688,Boston,1900,3
57690,Boston,1920,1
57691,Boston,1920,2
57694,Boston,1940,1
57695,Boston,1890,3
57696,Boston,1900,3
57697,Boston,1899,11
57698,Boston,1930,2
57699,Boston,1899,1
57700,Boston,1907,7
57701,Boston,1955,1
57702,Boston,1910,2
57704,Boston,1900,15
57705,Boston,1935,2
57707,Boston,1930,1
57708,Boston,1900,7
57709,Boston,1875,5
57710,Boston,1880,3
57711,Boston,1910,7
57712,Boston,1999,41
57714,Boston,1900,1
57715,Boston,1910,1
57716,Boston,1910,2
57718,Boston,1905,1
57719,Boston,1930,25
57720,Boston,1900,3
57721,Boston,1900,1
57722,Boston,1920,3
57723,Boston,1945,1
57724,Boston,1945,1
57726,Boston,1925,2
57727,Boston,1920,2
57728,Boston,1920,1
57729,Boston,1910,3
57730,Boston,1935,2
57731,Boston,1945,1
57734,Boston,2002,1
57735,Boston,1900,1
57736,Boston,1885,1
57737,Boston,1930,5
57738,Boston,1915,3
57739,Boston,1899,1
57740,Boston,1950,1
57741,Boston,1914,1
57742,Boston,1959,1
57743,Boston,1950,1
57744,Boston,1900,1
57745,Boston,1890,2
57746,Boston,1920,1
57747,Boston,1924,3
57748,Boston,1895,1
57749,Boston,1962,1
57750,Boston,1900,1
57752,Boston,1899,1
57753,Boston,1950,1
57754,Boston,1925,1
57756,Boston,1920,1
57757,Boston,1890,1
57758,Boston,1899,1
57759,Boston,1905,2
57760,Boston,1902,2
57761,Boston,2020,6
57762,Boston,1900,2
57763,Boston,1920,2
57764,Boston,1950,1
57765,Boston,1910,3
57766,Boston,1900,3
57767,Boston,1930,1
57768,Boston,1910,3
57769,Boston,1905,5
57771,Boston,1928,2
57772,Boston,1910,2
57773,Boston,1927,1
57774,Boston,1920,1
57775,Boston,1960,2
57777,Boston,2003,1
57778,Boston,1955,1
57780,Boston,1905,2
57781,Boston,1900,3
57782,Boston,1900,1
57783,Boston,1930,2
57784,Boston,2021,2
57785,Boston,1940,1
57786,Boston,1890,3
57787,Boston,2002,6
57789,Boston,1899,9
57790,Boston,1899,2
57791,Boston,1900,2
57793,Boston,1905,3
57794,Boston,1905,3
57795,Boston,1960,1
57796,Boston,1910,3
57797,Boston,1920,2
57798,Boston,1905,3
57799,Boston,1905,1
57801,Boston,1920,6
57802,Boston,1900,2
57803,Boston,1918,2
57804,Boston,1900,3
57805,Boston,1935,1
57806,Boston,1910,3
57807,Boston,1936,1
57808,Boston,1950,1
57810,Boston,1905,3
57811,Boston,1930,3
57812,Boston,1970,1
57813,Boston,1925,2
57814,Boston,1935,1
57815,Boston,1967,1
57816,Boston,1940,1
57817,Boston,1865,1
57818,Boston,1987,1
57819,Boston,2004,1
57820,Boston,2004,1
57821,Boston,1910,1
57822,Boston,1905,2
57823,Boston,1920,5
57824,Boston,1929,2
57825,Boston,1905,5
